a,b,aggr
293,101,306
529,114,700
270,191,83
484,96,495
305,147,301
495,56,144
547,59,179
432,106,419
167,123,211
351,111,631
524,149,827
360,170,450
748,69,121
588,147,720
366,181,329
398,106,500
368,168,398
575,68,299
463,102,819
724,243,44
427,179,570
193,156,165
975,133,109
384,129,736
619,128,962
645,195,397
723,104,361
529,171,428
58,111,45
685,150,527
669,93,678
403,142,526
419,102,631
667,186,110
162,153,111
717,75,70
459,113,622
608,111,418
553,77,699
262,187,101
686,86,406
586,171,404
679,95,331
899,144,137
589,28,87
509,130,547
620,170,425
789,125,218
567,148,941
613,137,778
571,105,738
581,190,334
469,168,396
256,81,138
589,135,931
711,45,98
202,106,216
502,145,1116
700,150,522
525,140,1061
525,99,811
348,144,419
456,121,692
428,192,227
624,100,509
327,102,533
442,115,591
715,90,492
355,110,599
464,141,805
326,148,310
579,141,874
342,108,385
369,49,138
646,155,531
876,133,178
573,167,732
708,45,110
407,136,310
669,160,480
311,135,453
328,157,450
303,36,92
384,58,207
330,115,414
53,86,72
576,119,1013
648,152,518
647,146,529
690,66,221
612,159,587
390,46,151
543,134,721
536,50,159
479,157,793
416,48,179
358,87,446
393,110,579
431,88,282
552,86,496
545,91,753
654,142,514
425,109,591
643,83,263
670,173,540
280,62,135
419,162,891
624,136,670
555,92,625
288,122,290
158,158,91
520,126,744
384,124,723
569,192,205
538,87,370
464,172,844
542,156,973
539,103,928
544,197,180
520,170,513
452,138,982
650,116,681
637,124,765
348,76,285
491,182,335
471,140,675
511,145,829
449,55,267
281,154,224
524,155,527
624,151,790
514,98,512
369,145,586
782,124,180
336,169,338
662,137,605
431,133,807
454,109,570
698,92,348
215,113,207
594,196,82
413,137,720
540,163,752
320,111,248
627,144,495
319,97,238
397,74,340
312,106,445
652,98,542
792,123,311
563,175,359
620,83,522
441,142,763
531,154,974
750,90,454
599,105,604
469,127,815
487,51,167
469,186,377
581,167,623
380,105,1048
59,48,22
398,145,519
516,130,1010
574,137,601
359,204,169
747,167,295
742,170,351
600,77,525
598,120,807
518,40,53
558,79,274
568,102,567
490,61,300
616,174,201
184,156,248
535,145,851
582,138,568
614,102,470
357,138,440
457,73,288
522,82,574
478,168,540
57,182,39
622,108,712
560,178,255
477,143,861
405,89,345
553,112,605
479,192,332
379,173,506
399,116,955
537,82,204
291,114,277
667,24,100
420,58,7
435,126,885
334,107,229
552,69,303
598,174,702
956,127,57
545,130,805
407,58,46
768,82,79
273,112,403
590,108,484
286,151,487
651,190,227
512,157,882
791,162,216
517,170,632
626,128,717
646,163,595
430,137,1342
478,126,796
460,148,1103
433,199,230
401,150,529
451,197,268
652,156,396
316,111,367
549,120,815
401,128,788
596,109,652
563,153,703
313,128,522
617,92,584
507,118,1146
387,92,518
483,196,231
396,197,183
532,111,784
689,157,530
452,123,1019
362,92,463
765,150,260
709,107,650
768,16,41
456,191,187
730,128,433
291,97,187
668,109,787
571,133,863
881,84,45
390,115,789
230,79,237
369,124,535
807,131,166
485,102,644
502,40,141
324,147,716
256,96,225
616,140,374
390,120,719
435,193,336
626,137,787
494,139,732
513,65,195
413,112,407
106,96,42
312,139,501
343,200,125
497,138,793
448,104,682
574,159,530
344,159,459
539,142,661
414,85,511
211,71,55
475,100,854
521,130,887
805,170,207
422,112,1016
371,231,109
304,66,66
786,101,310
571,63,649
344,101,449
634,124,492
346,128,587
691,127,411
480,103,648
