a,b,aggr
580,133,819
573,109,688
667,80,342
457,89,472
405,96,789
647,62,326
432,135,867
616,175,220
472,163,466
307,145,247
420,130,1111
528,107,798
473,124,891
468,100,646
950,93,77
649,131,776
727,143,260
433,115,700
469,114,951
559,227,42
633,83,298
776,127,184
706,76,576
483,107,464
578,97,793
571,171,352
684,185,139
753,152,377
419,49,183
813,175,97
505,51,417
341,124,533
291,122,452
265,135,267
500,145,697
341,148,398
845,82,59
607,181,277
546,80,307
439,123,744
749,192,58
594,136,564
480,120,750
400,121,895
526,99,568
444,86,542
270,160,122
460,191,184
447,121,413
793,213,118
308,229,52
72,134,31
188,61,49
823,151,231
807,133,309
573,79,625
414,107,435
542,158,558
744,56,107
658,131,375
782,161,168
444,154,489
656,133,233
501,96,542
503,82,1040
359,151,608
539,60,284
534,122,822
504,113,630
638,202,125
652,124,580
630,156,756
560,48,244
502,122,883
860,146,125
389,104,646
760,139,172
560,123,722
581,122,503
637,135,363
438,138,1179
597,154,597
719,148,507
420,54,219
414,164,460
421,165,607
492,133,675
451,146,1083
407,123,780
330,100,291
415,88,541
266,78,116
649,71,378
506,127,904
616,172,364
413,141,766
373,136,614
643,172,501
592,151,424
452,70,371
335,137,316
608,124,611
624,169,348
617,147,660
327,152,484
710,148,184
394,87,701
612,165,685
549,117,863
569,125,1014
383,147,461
641,93,243
763,145,182
893,183,82
298,160,423
817,140,157
580,48,90
619,134,851
629,160,748
597,125,860
664,133,310
433,90,620
497,24,69
624,96,652
480,135,916
296,207,94
851,128,146
371,220,102
721,175,95
470,150,517
699,205,63
660,170,350
611,156,647
789,199,52
649,135,1007
713,156,488
315,137,521
272,121,566
425,96,450
452,195,275
194,94,155
573,158,407
926,73,48
495,54,158
464,163,452
584,109,371
663,56,222
695,84,261
532,64,439
742,77,112
171,101,142
552,107,783
211,87,127
515,122,565
456,75,211
626,97,390
377,107,540
90,58,23
414,140,1060
650,158,368
211,106,129
915,99,39
657,184,216
640,146,510
415,143,497
747,162,295
410,199,230
525,114,1099
376,158,500
280,145,365
645,95,255
367,123,392
221,107,137
516,53,184
344,149,375
556,139,877
513,76,510
461,166,369
594,167,420
642,102,543
539,187,411
315,177,244
527,162,687
546,141,895
647,129,675
425,190,244
552,172,588
775,100,53
464,106,683
552,156,863
747,77,307
472,115,695
823,134,142
751,156,296
531,95,423
730,44,71
616,168,378
474,75,555
335,73,281
187,124,256
319,110,229
598,105,767
625,188,339
477,163,587
492,127,819
475,167,531
603,111,254
487,124,1006
528,234,93
617,143,831
806,197,88
665,150,343
742,173,322
243,55,181
501,95,956
428,189,303
745,187,110
664,94,309
488,146,819
742,148,494
285,125,564
524,99,921
331,165,486
279,93,259
607,149,557
592,119,829
540,165,464
184,129,210
429,142,853
475,166,390
545,107,710
710,166,265
673,162,350
638,113,759
453,128,1040
564,138,922
44,60,31
653,124,807
721,129,358
354,105,337
380,140,589
470,227,79
529,183,593
647,154,559
711,128,566
468,152,753
600,145,867
613,182,228
343,174,214
680,92,457
530,76,403
782,146,281
506,166,521
824,86,152
644,167,236
226,172,55
375,163,585
915,97,131
508,94,797
377,144,709
368,107,537
471,109,810
183,168,152
680,124,895
482,101,797
590,140,427
649,104,751
413,104,536
622,85,389
777,102,223
455,167,813
460,102,528
236,134,281
498,215,83
501,150,1074
565,150,473
533,150,741
460,139,598
375,146,642
399,70,308
627,172,374
611,113,765
356,90,416
317,119,345
522,154,688
152,193,75
421,131,628
550,195,366
341,209,177
648,187,249
609,165,571
663,155,387
703,141,441
294,149,268
514,124,1064
798,176,158
403,44,320
549,174,512
335,153,476
175,139,213
293,146,346
442,136,889
599,140,655
849,71,93
452,171,361
337,175,433
580,181,484
467,88,256
409,81,298
490,154,602
579,127,764
356,98,515
395,171,393
348,94,695
458,47,240
272,120,312
342,116,659
293,129,182
473,144,686
702,89,160
310,114,434
552,114,693
660,129,439
333,83,234
816,133,110
683,86,412
779,20,48
220,186,147
572,229,101
446,112,952
621,130,605
610,144,808
279,171,227
363,162,431
403,139,355
610,112,570
487,143,1237
527,112,554
600,149,674
527,76,353
698,116,257
562,158,563
468,109,652
803,126,236
593,199,216
607,141,601
461,129,587
493,115,734
292,107,489
393,130,590
327,210,272
598,123,1006
657,130,686
595,127,764
409,58,142
780,142,174
579,186,439
349,149,661
569,116,1088
547,200,181
503,101,822
685,88,532
354,156,580
494,166,458
639,90,392
674,118,512
211,51,142
318,175,362
598,134,593
250,74,216
410,152,545
536,137,910
101,110,75
370,117,680
408,127,628
253,155,324
539,35,65
436,143,733
665,165,182
444,136,552
231,113,199
359,217,38
667,172,210
538,112,764
515,123,906
696,225,141
503,200,164
387,85,400
651,88,649
324,55,185
538,158,898
697,111,348
526,66,36
